Handle,Data center,Date,Chip type,Number of Units,Chip type source,Number of Units source,Owner,User,Notes,Created By,Created,Last Modified By,Last Modified
B300 at OpenAI Stargate UAE on 2026-12-01T00:00:00.000Z,OpenAI Stargate UAE,2026-12-01,B300,100000,Estimate,Estimate,MGX #estimate,OpenAI #estimate,"B300 based on https://www.g42.ai/resources/news/global-tech-alliance-launches-stargate-uae. Count = 100,000 chips/year available to G42 per US export approval. [Bloomberg](https://www.bloomberg.com/news/articles/2025-10-09/us-approves-several-billion-dollars-of-nvidia-nvda-ai-chip-sales-to-uae)",Epoch AI,2026-05-18T18:38:07.000Z,Epoch AI,2026-05-18 18:38:07+00:00
B200 at CoreWeave Ellendale ND on 2026-12-31T00:00:00.000Z,CoreWeave Ellendale ND,2026-12-31,B200,136500,Estimate,Estimate,CoreWeave #likely,CoreWeave #confident,Modeled date for Building 2 coming online. Applied says the second 150 MW PF1 data center is expected online in calendar 2026. This row updates the estimated total B200 count to reflect 250 MW operational. Source: https://ir.applieddigital.com/news-events/press-releases/detail/148/applied-digital-reports-fiscal-third-quarter-2026-results,Epoch AI,2026-05-27T18:14:04.000Z,Epoch AI,2026-05-27 18:14:04+00:00
B300 at CoreWeave Muskogee OK on 2026-12-31T00:00:00.000Z,CoreWeave Muskogee OK,2026-12-31,B300,36000,Company disclosure,Estimate,CoreWeave #confident,,"Core Scientific says the leased 70 MW Muskogee building is designed for the Nvidia GB300 platform and targeted for Q2 2026 delivery. The exact chip count is not disclosed, so this estimates B300 GPUs from the disclosed IT load using an assumed all-in IT load per GPU. Owner is CoreWeave because Core Scientific says the site will host CoreWeave's NVIDIA GPUs. User is undisclosed because the customer was explicitly not named.",Epoch AI,2026-06-15T22:34:23.000Z,Epoch AI,2026-06-15 22:34:23+00:00
R200 at OpenAI Stargate Shackelford on 2027-01-01T00:00:00.000Z,OpenAI Stargate Shackelford,2027-01-01,R200,34880,Estimate,Estimate,Oracle #confident,OpenAI #confident,VR200 NVL72 assumed based on expected availability by 2027. Building 1 (140 MW IT). Count = IT power / (IT overhead × VR200 server power) × 72.,Epoch AI,2026-04-02T19:46:43.000Z,Epoch AI,2026-05-16 10:34:43+00:00
B300 at Meta Montgomery on 2027-01-02T00:00:00.000Z,Meta Montgomery,2027-01-02,B300,161283,Estimate,Estimate,Meta #confident,Meta #confident,"Assumed based on chip ownership data, number calculated from estimated IT power",Epoch AI,2026-06-11T20:49:35.000Z,Epoch AI,2026-06-11 20:49:35+00:00
B200 at Microsoft Fairwater Wisconsin on 2027-02-20T00:00:00.000Z,Microsoft Fairwater Wisconsin,2027-02-20,B200,442368,Company disclosure,Estimate,Microsoft #confident,Microsoft #confident,2 buildings operational. Same blueprint-based model.,Epoch AI,2026-04-17T22:18:05.000Z,Ben Cottier,2026-05-19 19:46:37+00:00
B200 at  on 2027-02-20T00:00:00.000Z,,2027-02-20,B200,442368,Company disclosure,Estimate,Microsoft #confident,Microsoft #confident,2 buildings operational. Same blueprint-based model.,Epoch AI,2026-05-19T20:42:25.000Z,Ben Cottier,2026-05-20 19:58:52+00:00
B300 at Meta Montgomery on 2027-02-23T00:00:00.000Z,Meta Montgomery,2027-02-23,B300,92209,Estimate,Estimate,Meta #confident,Meta #confident,"Assumed based on chip ownership data, number calculated from estimated IT power",Epoch AI,2026-06-11T20:49:34.000Z,Epoch AI,2026-06-11 20:49:34+00:00
TPU v6e at Fluidstack Lake Mariner on 2027-03-31T00:00:00.000Z,Fluidstack Lake Mariner,2027-03-31,TPU v6e,360361,Estimate,Estimate,Fluidstack #confident,Anthropic #likely,"[DCD: Google offers TPUs to AI cloud providers](https://www.datacenterdynamics.com/en/news/google-offers-its-tpus-to-ai-cloud-providers-report/), [Anthropic $50B infrastructure investment](https://www.anthropic.com/news/anthropic-invests-50-billion-in-american-ai-infrastructure)",Epoch AI,2026-03-05T20:57:20.000Z,Epoch AI,2026-06-05 21:36:25+00:00
TPU v7 at Fluidstack Lake Mariner on 2027-03-31T00:00:00.000Z,Fluidstack Lake Mariner,2027-03-31,TPU v7,83434,Estimate,Estimate,Fluidstack #confident,Anthropic #likely,"https://www.datacenterdynamics.com/en/news/google-offers-its-tpus-to-ai-cloud-providers-report/, https://www.anthropic.com/news/anthropic-invests-50-billion-in-american-ai-infrastructure",Epoch AI,2026-03-05T20:57:20.000Z,Epoch AI,2026-06-05 21:36:25+00:00
R200 at CoreWeave Chester VA on 2027-03-31T00:00:00.000Z,CoreWeave Chester VA,2027-03-31,R200,21355,Estimate,Estimate,CoreWeave #confident,,Estimated CTP-02/03 chip count using the modeled IT power for the 2027 expansion. Only use this if we model the new buildings with Vera Rubin NVL72.,Epoch AI,2026-06-12T17:01:48.000Z,Epoch AI,2026-06-12 17:01:48+00:00
B200 at CoreWeave Ellendale ND on 2027-06-01T00:00:00.000Z,CoreWeave Ellendale ND,2027-06-01,B200,218400,Estimate,Estimate,CoreWeave #likely,CoreWeave #confident,Modeled date for Building 3 coming online. Applied says the third 150 MW CoreWeave building is expected at full capacity / Ready for Service in 2027. This row updates the estimated total B200 count to reflect the full 400 MW PF1 campus. Source: https://ir.applieddigital.com/news-events/press-releases/detail/128/applied-digital-finalizes-additional-150mw-lease-with,Epoch AI,2026-05-27T18:14:04.000Z,Epoch AI,2026-05-27 18:14:04+00:00
B200 at Vantage TX1 on 2027-08-31T00:00:00.000Z,Vantage TX1,2027-08-31,B200,61244,Estimate,Estimate,,,"Adds Building 2 (96 MW reported IT power, TDLR). Same model, cumulative.",Epoch AI,2026-04-02T19:46:50.000Z,Epoch AI,2026-04-02 19:46:50+00:00
R200 at Crusoe Abilene Expansion on 2027-09-17T00:00:00.000Z,Crusoe Abilene Expansion,2027-09-17,R200,83713,Estimate,Estimate,NVIDIA #speculative,Meta #speculative,"[Bloomberg](https://www.bloomberg.com/news/articles/2026-03-06/oracle-and-openai-end-plans-to-expand-flagship-data-center). R200 Expected in 2H2026, so should be shipping in high volume by the time Building 9-10 are operational. Rubin Ultra likely not ready in the required volume. Estimated from power capacity.",Epoch AI,2026-03-09T19:28:52.000Z,Epoch AI,2026-05-16 10:34:12+00:00
Trainium2 at Amazon Ridgeland on 2027-09-21T00:00:00.000Z,Amazon Ridgeland,2027-09-21,Trainium2,964593,Estimate,Estimate,Amazon #confident,Amazon #confident,"All 14 buildings. Buildings 1-4 have 26 generators each, buildings 5-14 have 28, giving different chip counts per building type.",Epoch AI,2026-04-02T19:43:20.000Z,Epoch AI,2026-05-16 10:28:22+00:00
R200 at Goodnight on 2027-10-01T00:00:00.000Z,Goodnight,2027-10-01,R200,199316,Estimate,Estimate,Google #speculative,Google #speculative,"Buildings 3-6 use VR200 NVL72 (expected next-gen by operational date). Count = 4 buildings × chips per building, where per-building power is based on labeled blueprints in regulatory documents.",Epoch AI,2026-04-02T19:45:40.000Z,Epoch AI,2026-06-10 17:10:03+00:00
R200 at OpenAI Stargate Shackelford on 2027-10-13T00:00:00.000Z,OpenAI Stargate Shackelford,2027-10-13,R200,174402,Estimate,Estimate,Oracle #confident,OpenAI #confident,5 buildings operational (700 MW IT). Same per-building model.,Epoch AI,2026-04-02T19:46:43.000Z,Epoch AI,2026-05-16 10:34:43+00:00
R200 at Crusoe Abilene Expansion on 2027-11-11T00:00:00.000Z,Crusoe Abilene Expansion,2027-11-11,R200,167426,Estimate,Estimate,NVIDIA #speculative,Meta #speculative,"[Bloomberg](https://www.bloomberg.com/news/articles/2026-03-06/oracle-and-openai-end-plans-to-expand-flagship-data-center). R200 Expected in 2H2026, so should be shipping in high volume by the time Building 9-10 are operational. Rubin Ultra likely not ready in the required volume. Estimated from power capacity.",Epoch AI,2026-03-09T19:28:53.000Z,Epoch AI,2026-05-16 10:34:12+00:00
R300 at QTS Cedar Rapids on 2027-11-15T00:00:00.000Z,QTS Cedar Rapids,2027-11-15,R300,144303,Estimate,Estimate,,,"Rubin Ultra NVL576 for buildings 4-7, assumed from expected availability (late 2027). Count from chiller-based IT capacity / (IT overhead × server power) × 144.",Epoch AI,2026-04-02T19:46:49.000Z,Epoch AI,2026-04-02 19:46:49+00:00
R200 at OpenAI Stargate UAE on 2028-01-01T00:00:00.000Z,OpenAI Stargate UAE,2028-01-01,R200,300000,Estimate,Estimate,MGX #estimate,OpenAI #estimate,VR200 NVL72 for expansion (next-gen by 2028). Count = 3 years of chip allocation at 100k chips/year.,Epoch AI,2026-04-02T19:43:21.000Z,Epoch AI,2026-05-16 10:29:29+00:00
B200 at Coreweave Helios on 2028-01-01T00:00:00.000Z,Coreweave Helios,2028-01-01,B200,189452,Estimate,Estimate,CoreWeave #confident,CoreWeave #confident,"Phase II complete (3 buildings, 600 MW). Same model.",Epoch AI,2026-04-02T19:45:37.000Z,Epoch AI,2026-05-16 10:31:51+00:00
R200 at Meta Hyperion on 2028-01-01T00:00:00.000Z,Meta Hyperion,2028-01-01,R200,309228,Estimate,Estimate,Meta #confident,Meta #confident,"VR200 NVL72 assumed based on expected availability by 2028 (1 year after release). Count = total facility power / (PUE × IT overhead × VR200 server power) × 72. 9 buildings in first phase, 2262 MW.",Epoch AI,2026-04-02T19:45:39.000Z,Epoch AI,2026-05-21 21:36:40+00:00
Trainium2 at Amazon Madison Mega Site on 2028-03-15T00:00:00.000Z,Amazon Madison Mega Site,2028-03-15,Trainium2,784000,Estimate,Estimate,Amazon #confident,Amazon #confident,All 12 buildings operational. Same model as above.,Epoch AI,2026-06-12T18:43:00.000Z,Epoch AI,2026-06-12 18:43:00+00:00
R300 at OpenAI Stargate Shackelford on 2028-12-31T00:00:00.000Z,OpenAI Stargate Shackelford,2028-12-31,R300,147368,Estimate,Estimate,Oracle #confident,OpenAI #confident,"Buildings 6-10 use Rubin Ultra NVL576, assumed from expected availability by late 2028. Count = 5 buildings × IT power per building / (IT overhead × Rubin Ultra server power) × 144 chips per server.",Epoch AI,2026-04-13T19:33:24.000Z,Epoch AI,2026-05-16 10:34:44+00:00
B200 at Coreweave Helios on 2029-01-01T00:00:00.000Z,Coreweave Helios,2029-01-01,B200,252602,Estimate,Estimate,CoreWeave #confident,CoreWeave #confident,"All phases complete (4 buildings, 800 MW). Same model. [Applied Digital corporate update](https://investor.galaxy.com/news-releases/news-release-details/applied-digital-provides-corporate-update-1)",Epoch AI,2026-04-02T19:45:37.000Z,Epoch AI,2026-05-16 10:31:51+00:00
